row_id,Usage,rule_violation,rule
2029,Public,1,promotion
2030,Public,1,medical
2031,Public,0,advertising
2032,Public,0,spoilers
2033,Public,1,legal
2034,Public,1,promotion
2035,Public,0,medical
2036,Public,0,advertising
2037,Public,1,medical
2038,Public,0,financial
2039,Public,1,promotion
2040,Public,0,advertising
2041,Public,0,advertising
2042,Public,0,financial
2043,Public,1,promotion
2044,Public,0,spoilers
2045,Private,0,financial
2046,Private,1,promotion
2047,Private,0,spoilers
2048,Public,1,advertising
2049,Private,1,promotion
2050,Public,0,spoilers
2051,Private,0,legal
2052,Private,1,promotion
2053,Private,0,spoilers
2054,Public,0,financial
2055,Public,1,legal
2056,Private,0,medical
2057,Public,1,medical
2058,Private,0,spoilers
2059,Public,1,advertising
2060,Private,0,financial
2061,Private,1,promotion
2062,Private,1,promotion
2063,Private,1,advertising
2064,Public,0,medical
2065,Private,0,medical
2066,Private,1,promotion
2067,Private,1,legal
2068,Private,1,promotion
2069,Private,0,advertising
2070,Private,1,advertising
2071,Public,0,legal
2072,Public,1,promotion
2073,Private,0,medical
2074,Private,0,advertising
2075,Private,0,financial
2076,Private,0,financial
2077,Public,1,promotion
2078,Public,1,legal
2079,Public,1,advertising
2080,Public,0,financial
2081,Private,1,spoilers
2082,Private,1,promotion
2083,Private,0,financial
2084,Public,1,promotion
2085,Private,0,medical
2086,Private,0,spoilers
2087,Private,0,financial
2088,Private,0,financial
2089,Private,0,legal
2090,Private,0,spoilers
2091,Private,1,advertising
2092,Private,0,financial
2093,Private,1,legal
2094,Private,1,medical
2095,Private,1,promotion
2096,Private,1,legal
2097,Private,0,medical
2098,Public,1,advertising
2099,Public,0,financial
2100,Public,0,financial
2101,Public,0,advertising
2102,Private,0,medical
2103,Private,1,legal
2104,Private,0,spoilers
2105,Private,1,financial
2106,Private,1,medical
2107,Public,0,advertising
2108,Public,0,spoilers
2109,Private,0,advertising
2110,Private,1,advertising
2111,Private,1,financial
2112,Public,1,promotion
2113,Private,1,legal
2114,Public,1,spoilers
2115,Private,1,advertising
2116,Private,0,medical
2117,Private,0,advertising
2118,Private,1,financial
2119,Private,1,promotion
2120,Private,1,promotion
2121,Private,0,spoilers
2122,Private,1,legal
2123,Private,1,advertising
2124,Private,0,legal
2125,Public,0,medical
2126,Public,1,medical
2127,Public,0,financial
2128,Public,1,legal
2129,Public,0,spoilers
2130,Public,1,promotion
2131,Private,0,medical
2132,Public,1,spoilers
2133,Public,0,spoilers
2134,Public,0,advertising
2135,Private,1,medical
2136,Private,0,medical
2137,Private,0,advertising
2138,Private,0,financial
2139,Private,1,financial
2140,Private,0,spoilers
2141,Public,0,medical
2142,Private,0,medical
2143,Private,0,financial
2144,Private,0,legal
2145,Private,1,promotion
2146,Public,1,legal
2147,Private,0,advertising
2148,Public,1,spoilers
2149,Public,0,legal
2150,Private,1,promotion
2151,Private,0,advertising
2152,Private,1,medical
2153,Private,0,financial
2154,Public,1,financial
2155,Public,0,spoilers
2156,Private,1,promotion
2157,Public,0,legal
2158,Public,1,promotion
2159,Public,1,advertising
2160,Private,1,promotion
2161,Private,1,legal
2162,Private,0,medical
2163,Private,1,promotion
2164,Public,1,promotion
2165,Private,1,spoilers
2166,Public,1,legal
2167,Private,0,financial
2168,Private,0,financial
2169,Private,1,promotion
2170,Private,1,promotion
2171,Private,0,medical
2172,Private,1,promotion
2173,Public,0,spoilers
2174,Private,1,medical
2175,Private,1,promotion
2176,Private,0,financial
2177,Private,0,medical
2178,Public,0,spoilers
2179,Private,0,spoilers
2180,Private,1,advertising
2181,Public,1,legal
2182,Private,0,medical
2183,Private,0,spoilers
2184,Private,1,advertising
2185,Private,0,medical
2186,Private,0,spoilers
2187,Private,0,financial
2188,Private,1,promotion
2189,Private,1,legal
2190,Private,0,legal
2191,Private,1,promotion
2192,Public,0,spoilers
2193,Private,0,medical
2194,Public,1,advertising
2195,Private,0,spoilers
2196,Private,0,financial
2197,Public,0,medical
2198,Private,1,promotion
2199,Private,0,advertising
2200,Private,0,financial
2201,Private,0,medical
2202,Private,0,spoilers
2203,Private,0,financial
2204,Private,1,medical
2205,Private,1,promotion
2206,Private,0,financial
2207,Private,0,advertising
2208,Private,0,advertising
2209,Private,0,legal
2210,Private,0,medical
2211,Private,1,advertising
2212,Private,1,financial
2213,Public,0,advertising
2214,Private,0,spoilers
2215,Private,1,medical
2216,Private,1,advertising
2217,Private,0,financial
2218,Public,0,medical
2219,Private,0,legal
2220,Private,1,advertising
2221,Private,1,promotion
2222,Private,0,legal
2223,Private,1,promotion
2224,Private,0,spoilers
2225,Private,1,legal
2226,Private,0,financial
2227,Private,1,medical
2228,Private,1,spoilers
2229,Public,0,spoilers
2230,Private,1,legal
2231,Private,0,financial
2232,Private,0,medical
2233,Private,1,promotion
2234,Public,1,advertising
2235,Private,1,promotion
2236,Private,1,promotion
2237,Private,0,advertising
2238,Private,1,advertising
2239,Private,0,advertising
2240,Private,0,advertising
2241,Private,1,financial
